"zcta","med_inc","inc_lowest_quint_ul","inc_second_quint_ul","inc_third_quint_ul","inc_fourth_quint_ul","inc_top5_pct_ll","inc_ineq_ratio","gini_coef"
"60647",78413,30257,60995,98809,155520,250001,5.13996761080081,0.4849
"60004",99701,48428,81277,118882,181867,250001,3.75541009333443,0.4173
"60043",227404,95233,176714,250001,250001,250001,2.62515094557559,0.4742
"60093",194750,66906,146281,250001,250001,250001,3.73660060383224,0.5378
"60130",62664,26924,49184,77495,122726,237600,4.55823800326846,0.4571
"60191",69738,39588,58116,86112,128277,218267,3.24030009093665,0.4109
"60195",88500,46882,74743,92316,127382,194100,2.7170769165138,0.345
"60163",64399,33324,50260,78774,126606,218538,3.79924378826071,0.3958
"60171",59814,22696,46368,76064,110337,182388,4.86151744800846,0.4137
"60194",81630,39087,69543,93697,142760,215707,3.65236523652365,0.3959
"60305",129928,64068,107940,174971,250001,250001,3.90211962290067,0.5223
"60423",115653,57431,96590,135081,190184,250001,3.31152165206944,0.375
"60047",141285,69462,117916,174024,250001,250001,3.59910454637068,0.4186
"60070",72179,31186,55045,87000,136570,250001,4.37920861925223,0.4747
"60008",71403,38355,58458,91573,137028,246299,3.57262416894799,0.4176
"60160",50853,23448,41568,62699,93746,161236,3.99803821221426,0.4182
"60091",164556,62360,121888,202276,250001,250001,4.00899615137909,0.5062
"60430",74138,31161,58070,88072,128510,204610,4.12406533808286,0.4107
"60603",146250,26333,86167,162025,250001,250001,9.49382903581058,0.6121
"60053",85360,33731,65982,102014,152703,238187,4.52708191278053,0.4219
"60478",61929,29060,52051,81533,109710,167113,3.77529249827942,0.3869
"60501",53258,23562,41633,65281,97342,185325,4.13131313131313,0.4245
"60513",82337,36916,70564,99460,144694,213318,3.91954707985697,0.3844
"60526",105120,44637,86960,122065,192167,250001,4.30510562985864,0.4182
"60534",60601,26180,45382,69984,102939,148881,3.93197097020626,0.4306
"60607",102726,29778,82345,135079,202171,250001,6.78927396064208,0.4918
"60609",37353,17153,28350,46841,78000,149448,4.54730950854078,0.4647
"60625",68770,29510,53834,87476,136253,245300,4.61718061674009,0.4597
"60646",95593,30413,69958,117787,182617,250001,6.00457041396771,0.5006
"60652",70702,27220,57239,83772,121432,181583,4.46113152094049,0.3911
"60805",75657,35853,61009,91915,131521,204047,3.66834016679218,0.3994
"60007",82234,39721,67123,97314,143510,244754,3.61295032854158,0.397
"60172",90947,41951,72781,106089,157750,224319,3.76033944363662,0.3794
"60176",54099,24347,42695,61199,102175,143467,4.19661559945784,0.4088
"60203",123636,53722,103828,141833,247917,250001,4.61481329809017,0.4477
"60301",85879,28820,71679,92050,147148,250001,5.105759888966,0.478
"60302",89533,30483,66007,119420,211795,250001,6.94797100022964,0.5147
"60304",115374,50150,92302,135077,191453,250001,3.81760717846461,0.4277
"60201",78250,22242,55825,107872,217024,250001,9.75739591763331,0.5869
"60402",63087,28528,49084,77519,108227,189453,3.79371144139091,0.4061
"60406",47475,20381,35534,56690,85742,134998,4.20695746037977,0.4206
"60419",46658,18290,37549,61928,93036,150095,5.0867140513942,0.4356
"60438",53490,23519,44362,66868,101956,167843,4.33504825885454,0.4293
"60443",77934,26187,57803,93084,135075,186122,5.15809371061977,0.4258
"60445",60765,25430,47907,72410,110291,163889,4.33704286276052,0.396
"60457",65226,27492,51258,78622,117161,186384,4.26163974974538,0.4309
"60610",92130,34060,75017,121529,201832,250001,5.92577803875514,0.5359
"60622",101161,42008,79897,125176,195954,250001,4.66468291753952,0.4798
"60660",50966,20496,40476,65327,112060,217178,5.46740827478532,0.4921
