census_name,clean_name,census_place_code,variable,sex,age,total_pop,total_pop_moe,pop_in_cook,pop_in_cook_moe,vintage
"Barrington village, Illinois",Barrington,03844,B01001_030E,Female,15 to 17 years,294,104,144,89,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_031E,Female,18 and 19 years,132,95,35,55,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_032E,Female,20 years,0,19,0,17,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_033E,Female,21 years,79,65,14,25,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_034E,Female,22 to 24 years,48,42,29,32,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_035E,Female,25 to 29 years,129,80,68,72,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_036E,Female,30 to 34 years,237,113,146,88,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_037E,Female,35 to 39 years,563,174,308,111,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_038E,Female,40 to 44 years,402,126,212,101,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_039E,Female,45 to 49 years,359,124,163,88,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_040E,Female,50 to 54 years,454,229,319,230,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_041E,Female,55 to 59 years,342,158,185,136,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_042E,Female,60 and 61 years,89,50,42,39,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_043E,Female,62 to 64 years,160,69,111,62,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_044E,Female,65 and 66 years,139,71,54,46,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_045E,Female,67 to 69 years,267,229,194,211,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_046E,Female,70 to 74 years,173,76,98,63,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_047E,Female,75 to 79 years,197,63,132,55,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_048E,Female,80 to 84 years,272,114,198,102,2021 5 YR
"Barrington village, Illinois",Barrington,03844,B01001_049E,Female,85 years and over,329,129,137,89,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_003E,Male,Under 5 years,43,49,43,49,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_004E,Male,5 to 9 years,148,115,60,59,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_005E,Male,10 to 14 years,150,106,133,105,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_006E,Male,15 to 17 years,164,115,125,109,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_007E,Male,18 and 19 years,31,37,31,37,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_008E,Male,20 years,84,100,11,18,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_009E,Male,21 years,27,33,14,22,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_010E,Male,22 to 24 years,17,24,0,12,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_011E,Male,25 to 29 years,4,6,0,12,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_012E,Male,30 to 34 years,22,24,2,4,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_013E,Male,35 to 39 years,55,49,14,23,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_014E,Male,40 to 44 years,57,42,16,25,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_015E,Male,45 to 49 years,159,82,118,65,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_016E,Male,50 to 54 years,199,99,101,67,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_017E,Male,55 to 59 years,233,130,87,71,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_018E,Male,60 and 61 years,33,30,14,23,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_019E,Male,62 to 64 years,63,46,25,28,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_020E,Male,65 and 66 years,160,100,53,38,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_021E,Male,67 to 69 years,75,56,26,22,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_022E,Male,70 to 74 years,84,41,29,32,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_023E,Male,75 to 79 years,174,100,51,64,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_024E,Male,80 to 84 years,19,23,13,21,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_025E,Male,85 years and over,13,21,13,21,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_027E,Female,Under 5 years,114,84,49,55,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_028E,Female,5 to 9 years,114,66,62,41,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_029E,Female,10 to 14 years,86,56,60,47,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_030E,Female,15 to 17 years,124,121,105,118,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_031E,Female,18 and 19 years,177,144,94,112,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_032E,Female,20 years,2,5,2,5,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_033E,Female,21 years,6,11,0,12,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_034E,Female,22 to 24 years,52,34,23,19,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_035E,Female,25 to 29 years,93,61,32,40,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_036E,Female,30 to 34 years,55,52,14,22,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_037E,Female,35 to 39 years,59,49,28,31,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_038E,Female,40 to 44 years,116,93,25,27,2021 5 YR
"Barrington Hills village, Illinois",Barrington Hills,03883,B01001_039E,Female,45 to 49 years,243,123,184,116,2021 5 YR
