zcta,variable,sex,age,total_pop,total_pop_moe,vintage
60008,B01001_029E,Female,10 to 14 years,545,145,2021 5 YR
60008,B01001_030E,Female,15 to 17 years,363,147,2021 5 YR
60008,B01001_031E,Female,18 and 19 years,208,148,2021 5 YR
60008,B01001_032E,Female,20 years,36,28,2021 5 YR
60008,B01001_033E,Female,21 years,203,130,2021 5 YR
60008,B01001_034E,Female,22 to 24 years,294,118,2021 5 YR
60008,B01001_035E,Female,25 to 29 years,562,170,2021 5 YR
60008,B01001_036E,Female,30 to 34 years,1075,324,2021 5 YR
60008,B01001_037E,Female,35 to 39 years,795,243,2021 5 YR
60008,B01001_038E,Female,40 to 44 years,774,213,2021 5 YR
60008,B01001_039E,Female,45 to 49 years,734,193,2021 5 YR
60008,B01001_040E,Female,50 to 54 years,968,290,2021 5 YR
60008,B01001_041E,Female,55 to 59 years,1008,211,2021 5 YR
60008,B01001_042E,Female,60 and 61 years,173,85,2021 5 YR
60008,B01001_043E,Female,62 to 64 years,294,113,2021 5 YR
60008,B01001_044E,Female,65 and 66 years,332,161,2021 5 YR
60008,B01001_045E,Female,67 to 69 years,246,84,2021 5 YR
60008,B01001_046E,Female,70 to 74 years,392,129,2021 5 YR
60008,B01001_047E,Female,75 to 79 years,431,156,2021 5 YR
60008,B01001_048E,Female,80 to 84 years,185,77,2021 5 YR
60008,B01001_049E,Female,85 years and over,461,197,2021 5 YR
60010,B01001_003E,Male,Under 5 years,911,218,2021 5 YR
60010,B01001_004E,Male,5 to 9 years,1973,320,2021 5 YR
60010,B01001_005E,Male,10 to 14 years,1894,278,2021 5 YR
60010,B01001_006E,Male,15 to 17 years,1544,274,2021 5 YR
60010,B01001_007E,Male,18 and 19 years,668,283,2021 5 YR
60010,B01001_008E,Male,20 years,201,109,2021 5 YR
60010,B01001_009E,Male,21 years,183,120,2021 5 YR
60010,B01001_010E,Male,22 to 24 years,572,167,2021 5 YR
60010,B01001_011E,Male,25 to 29 years,493,134,2021 5 YR
60010,B01001_012E,Male,30 to 34 years,622,158,2021 5 YR
60010,B01001_013E,Male,35 to 39 years,1119,199,2021 5 YR
60010,B01001_014E,Male,40 to 44 years,1253,223,2021 5 YR
60010,B01001_015E,Male,45 to 49 years,1529,221,2021 5 YR
60010,B01001_016E,Male,50 to 54 years,1799,242,2021 5 YR
60010,B01001_017E,Male,55 to 59 years,2267,337,2021 5 YR
60010,B01001_018E,Male,60 and 61 years,515,151,2021 5 YR
60010,B01001_019E,Male,62 to 64 years,830,174,2021 5 YR
60010,B01001_020E,Male,65 and 66 years,600,154,2021 5 YR
60010,B01001_021E,Male,67 to 69 years,829,166,2021 5 YR
60010,B01001_022E,Male,70 to 74 years,1294,214,2021 5 YR
60010,B01001_023E,Male,75 to 79 years,947,177,2021 5 YR
60010,B01001_024E,Male,80 to 84 years,472,148,2021 5 YR
60010,B01001_025E,Male,85 years and over,612,227,2021 5 YR
60010,B01001_027E,Female,Under 5 years,1014,200,2021 5 YR
60010,B01001_028E,Female,5 to 9 years,1470,259,2021 5 YR
60010,B01001_029E,Female,10 to 14 years,1875,313,2021 5 YR
60010,B01001_030E,Female,15 to 17 years,1104,216,2021 5 YR
60010,B01001_031E,Female,18 and 19 years,608,194,2021 5 YR
60010,B01001_032E,Female,20 years,50,32,2021 5 YR
60010,B01001_033E,Female,21 years,211,92,2021 5 YR
60010,B01001_034E,Female,22 to 24 years,437,154,2021 5 YR
60010,B01001_035E,Female,25 to 29 years,715,226,2021 5 YR
60010,B01001_036E,Female,30 to 34 years,659,148,2021 5 YR
60010,B01001_037E,Female,35 to 39 years,1353,231,2021 5 YR
60010,B01001_038E,Female,40 to 44 years,1522,239,2021 5 YR
60010,B01001_039E,Female,45 to 49 years,1645,263,2021 5 YR
