"zip_code","variable","sex","age","estimate"
60008,"B01001_041E","Female","55 to 59 years",875
60008,"B01001_042E","Female","60 and 61 years",320
60008,"B01001_043E","Female","62 to 64 years",248
60008,"B01001_044E","Female","65 and 66 years",212
60008,"B01001_045E","Female","67 to 69 years",294
60008,"B01001_046E","Female","70 to 74 years",315
60008,"B01001_047E","Female","75 to 79 years",498
60008,"B01001_048E","Female","80 to 84 years",236
60008,"B01001_049E","Female","85 years and over",413
60010,"B01001_003E","Male","Under 5 years",980
60010,"B01001_004E","Male","5 to 9 years",1789
60010,"B01001_005E","Male","10 to 14 years",1712
60010,"B01001_006E","Male","15 to 17 years",1328
60010,"B01001_007E","Male","18 and 19 years",493
60010,"B01001_008E","Male","20 years",187
60010,"B01001_009E","Male","21 years",181
60010,"B01001_010E","Male","22 to 24 years",465
60010,"B01001_011E","Male","25 to 29 years",620
60010,"B01001_012E","Male","30 to 34 years",623
60010,"B01001_013E","Male","35 to 39 years",1152
60010,"B01001_014E","Male","40 to 44 years",1307
60010,"B01001_015E","Male","45 to 49 years",1631
60010,"B01001_016E","Male","50 to 54 years",1995
60010,"B01001_017E","Male","55 to 59 years",2509
60010,"B01001_018E","Male","60 and 61 years",614
60010,"B01001_019E","Male","62 to 64 years",845
60010,"B01001_020E","Male","65 and 66 years",640
60010,"B01001_021E","Male","67 to 69 years",893
60010,"B01001_022E","Male","70 to 74 years",1046
60010,"B01001_023E","Male","75 to 79 years",842
60010,"B01001_024E","Male","80 to 84 years",417
60010,"B01001_025E","Male","85 years and over",448
60010,"B01001_027E","Female","Under 5 years",1093
60010,"B01001_028E","Female","5 to 9 years",1334
60010,"B01001_029E","Female","10 to 14 years",1930
60010,"B01001_030E","Female","15 to 17 years",963
60010,"B01001_031E","Female","18 and 19 years",465
60010,"B01001_032E","Female","20 years",161
60010,"B01001_033E","Female","21 years",127
60010,"B01001_034E","Female","22 to 24 years",519
60010,"B01001_035E","Female","25 to 29 years",537
60010,"B01001_036E","Female","30 to 34 years",880
60010,"B01001_037E","Female","35 to 39 years",1341
60010,"B01001_038E","Female","40 to 44 years",1382
60010,"B01001_039E","Female","45 to 49 years",1624
60010,"B01001_040E","Female","50 to 54 years",2354
60010,"B01001_041E","Female","55 to 59 years",2115
60010,"B01001_042E","Female","60 and 61 years",790
60010,"B01001_043E","Female","62 to 64 years",1014
60010,"B01001_044E","Female","65 and 66 years",790
60010,"B01001_045E","Female","67 to 69 years",665
60010,"B01001_046E","Female","70 to 74 years",1266
60010,"B01001_047E","Female","75 to 79 years",971
