zip_code,zcta_2010_pop,zcta_2010_pop_cook,percent_pop,partial_pop,primary_city,percent_addresses,district,nssp_region,notes
60649,46650,46650,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60651,64267,64267,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60652,40959,40959,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60653,29908,29908,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60654,14875,14875,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60655,28550,28550,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60656,27613,27613,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60657,65996,65996,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60659,38104,38104,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60660,42752,42752,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60661,7792,7792,100,FALSE,Chicago,100,OOJ,IL_Chicago,NA
60706,23134,23134,100,FALSE,Harwood Heights,100,West District,IL_Cook,NA
60707,42920,42920,100,FALSE,Elmwood Park,100,West District,IL_Cook,NA
60712,12590,12590,100,FALSE,Lincolnwood,100,North District,IL_Cook,NA
60714,29931,29931,100,FALSE,Niles,100,North District,IL_Cook,NA
60803,22285,22285,100,FALSE,Alsip,100,Southwest District,IL_Cook,NA
60804,84573,84573,100,FALSE,Cicero,100,West District,IL_Cook,NA
60805,19852,19852,100,FALSE,Evergreen Park,100,Southwest District,IL_Cook,NA
60827,27946,27946,100,FALSE,Riverdale,100,South District,IL_Cook,NA
60006,NA,NA,NA,NA,Arlington Heights,100,NA,IL_Cook,PO Boxes per Melissa data
60009,NA,NA,NA,NA,Elk Grove Village,100,NA,IL_Cook,PO Boxes per Melissa data
60017,NA,NA,NA,NA,Des Plaines,100,NA,IL_Cook,PO Boxes per Melissa data
60019,NA,NA,NA,NA,Des Plaines,100,NA,IL_Cook,NA
60038,NA,NA,NA,NA,Palatine,100,NA,IL_Cook,NA
60055,NA,NA,NA,NA,Palatine,100,NA,IL_Cook,NA
60065,NA,NA,NA,NA,Northbrook,100,NA,IL_Cook,PO Boxes per Melissa data
60078,NA,NA,NA,NA,Palatine,100,NA,IL_Cook,PO Boxes per Melissa data
60082,NA,NA,NA,NA,Techny,100,NA,IL_Cook,PO Boxes per Melissa data
60094,NA,NA,NA,NA,Palatine,100,NA,IL_Cook,PO Boxes per Melissa data
60095,NA,NA,NA,NA,Palatine,100,NA,IL_Cook,PO Boxes per Melissa data
60159,NA,NA,NA,NA,Schaumburg,100,NA,IL_Cook,PO Boxes per Melissa data
60161,NA,NA,NA,NA,Melrose Park,100,NA,IL_Cook,PO Boxes per Melissa data
60168,NA,NA,NA,NA,Schaumburg,100,NA,IL_Cook,PO Boxes per Melissa data
60179,NA,NA,NA,NA,Hoffman Estates,100,NA,IL_Cook,NA
60196,NA,NA,NA,NA,Schaumburg,100,NA,IL_Cook,NA
60204,NA,NA,NA,NA,Evanston,100,NA,IL_Cook,PO Boxes per Melissa data
60208,NA,NA,NA,NA,Evanston,100,NA,IL_Cook,NA
60303,NA,NA,NA,NA,Oak Park,100,NA,IL_Cook,PO Boxes per Melissa data
60412,NA,NA,NA,NA,Chicago Heights,100,NA,IL_Cook,PO Boxes per Melissa data
60418,NA,NA,NA,NA,Crestwood,100,Southwest District,NA,new zip created in 2017
60454,NA,NA,NA,NA,Oak Lawn,100,NA,IL_Cook,PO Boxes per Melissa data
60499,NA,NA,NA,NA,Bedford Park,100,NA,IL_Cook,PO Boxes per Melissa data
60664,NA,NA,NA,NA,Chicago,100,NA,IL_Chicago,PO Boxes per Melissa data
60666,NA,NA,NA,NA,Chicago,100,NA,IL_Chicago,PO Boxes per Melissa data
60668,NA,NA,NA,NA,Chicago,100,NA,IL_Chicago,NA
60669,NA,NA,NA,NA,Chicago,100,NA,IL_Chicago,NA
60670,NA,NA,NA,NA,Chicago,100,NA,IL_Chicago,NA
60673,NA,NA,NA,NA,Chicago,100,NA,IL_Chicago,NA
60674,NA,NA,NA,NA,Chicago,100,NA,IL_Chicago,NA
60675,NA,NA,NA,NA,Chicago,100,NA,IL_Chicago,NA
60677,NA,NA,NA,NA,Chicago,100,NA,IL_Chicago,NA
60678,NA,NA,NA,NA,Chicago,100,NA,IL_Chicago,NA
60680,NA,NA,NA,NA,Chicago,100,NA,IL_Chicago,PO Boxes per Melissa data
60681,NA,NA,NA,NA,Chicago,100,NA,IL_Chicago,PO Boxes per Melissa data
60682,NA,NA,NA,NA,Chicago,100,NA,IL_Chicago,NA
60684,NA,NA,NA,NA,Chicago,100,NA,IL_Chicago,NA
60685,NA,NA,NA,NA,Chicago,100,NA,IL_Chicago,NA
60686,NA,NA,NA,NA,Chicago,100,NA,IL_Chicago,NA
60687,NA,NA,NA,NA,Chicago,100,NA,IL_Chicago,NA
60688,NA,NA,NA,NA,Chicago,100,NA,IL_Chicago,NA
60689,NA,NA,NA,NA,Chicago,100,NA,IL_Chicago,NA
60690,NA,NA,NA,NA,Chicago,100,NA,IL_Chicago,PO Boxes per Melissa data
60691,NA,NA,NA,NA,Chicago,100,NA,IL_Chicago,PO Boxes per Melissa data
60693,NA,NA,NA,NA,Chicago,100,NA,IL_Chicago,NA
60694,NA,NA,NA,NA,Chicago,100,NA,IL_Chicago,NA
60695,NA,NA,NA,NA,Chicago,100,NA,IL_Chicago,NA
60696,NA,NA,NA,NA,Chicago,100,NA,IL_Chicago,NA
60697,NA,NA,NA,NA,Chicago,100,NA,IL_Chicago,NA
60699,NA,NA,NA,NA,Chicago,100,NA,IL_Chicago,NA
60701,NA,NA,NA,NA,Chicago,100,NA,IL_Cook,NA
60663,NA,NA,NA,NA,NA,NA,NA,IL_Chicago,NA
60665,NA,NA,NA,NA,NA,NA,NA,IL_Chicago,NA
60667,NA,NA,NA,NA,NA,NA,NA,IL_Chicago,NA
60671,NA,NA,NA,NA,NA,NA,NA,IL_Chicago,NA
60679,NA,NA,NA,NA,NA,NA,NA,IL_Chicago,NA
60683,NA,NA,NA,NA,NA,NA,NA,IL_Chicago,NA
60011,NA,NA,NA,NA,NA,NA,NA,IL_Cook,NA
60209,NA,NA,NA,NA,NA,NA,NA,IL_Cook,NA
60290,NA,NA,NA,NA,NA,NA,NA,IL_Cook,NA
60398,NA,NA,NA,NA,NA,NA,NA,IL_Cook,NA
60570,NA,NA,NA,NA,NA,NA,NA,IL_Cook,NA
