census_name,clean_name,census_place_code,variable,sex,age,estimate,margin_of_error
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_018E,Male,60 and 61 years,74,59
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_019E,Male,62 to 64 years,77,63
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_020E,Male,65 and 66 years,56,53
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_021E,Male,67 to 69 years,107,69
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_022E,Male,70 to 74 years,57,57
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_023E,Male,75 to 79 years,65,53
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_024E,Male,80 to 84 years,49,49
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_025E,Male,85 years and over,15,24
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_027E,Female,Under 5 years,208,113
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_028E,Female,5 to 9 years,181,113
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_029E,Female,10 to 14 years,219,87
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_030E,Female,15 to 17 years,145,91
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_031E,Female,18 and 19 years,0,16
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_032E,Female,20 years,78,80
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_033E,Female,21 years,0,16
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_034E,Female,22 to 24 years,44,42
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_035E,Female,25 to 29 years,60,52
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_036E,Female,30 to 34 years,178,77
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_037E,Female,35 to 39 years,323,135
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_038E,Female,40 to 44 years,236,111
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_039E,Female,45 to 49 years,117,76
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_040E,Female,50 to 54 years,229,89
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_041E,Female,55 to 59 years,153,85
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_042E,Female,60 and 61 years,73,47
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_043E,Female,62 to 64 years,76,62
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_044E,Female,65 and 66 years,56,46
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_045E,Female,67 to 69 years,85,61
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_046E,Female,70 to 74 years,167,79
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_047E,Female,75 to 79 years,109,62
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_048E,Female,80 to 84 years,102,69
"Cook County (part), Barrington village, Illinois",Barrington,03844,B01001_049E,Female,85 years and over,122,94
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_003E,Male,Under 5 years,54,62
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_004E,Male,5 to 9 years,65,57
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_005E,Male,10 to 14 years,113,77
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_006E,Male,15 to 17 years,44,58
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_007E,Male,18 and 19 years,75,97
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_008E,Male,20 years,18,29
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_009E,Male,21 years,0,11
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_010E,Male,22 to 24 years,0,11
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_011E,Male,25 to 29 years,0,11
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_012E,Male,30 to 34 years,0,11
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_013E,Male,35 to 39 years,16,25
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_014E,Male,40 to 44 years,13,22
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_015E,Male,45 to 49 years,169,132
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_016E,Male,50 to 54 years,116,64
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_017E,Male,55 to 59 years,145,83
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_018E,Male,60 and 61 years,27,31
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_019E,Male,62 to 64 years,38,46
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_020E,Male,65 and 66 years,13,20
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_021E,Male,67 to 69 years,29,33
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_022E,Male,70 to 74 years,84,84
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_023E,Male,75 to 79 years,88,87
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_024E,Male,80 to 84 years,14,22
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_025E,Male,85 years and over,15,24
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_027E,Female,Under 5 years,45,50
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_028E,Female,5 to 9 years,52,46
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_029E,Female,10 to 14 years,100,68
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_030E,Female,15 to 17 years,52,63
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_031E,Female,18 and 19 years,70,93
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_032E,Female,20 years,4,9
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_033E,Female,21 years,0,11
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_034E,Female,22 to 24 years,57,41
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_035E,Female,25 to 29 years,14,24
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_036E,Female,30 to 34 years,16,25
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_037E,Female,35 to 39 years,28,33
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_038E,Female,40 to 44 years,38,43
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_039E,Female,45 to 49 years,100,70
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_040E,Female,50 to 54 years,128,74
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_041E,Female,55 to 59 years,125,82
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_042E,Female,60 and 61 years,52,49
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_043E,Female,62 to 64 years,40,47
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_044E,Female,65 and 66 years,14,23
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_045E,Female,67 to 69 years,30,25
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_046E,Female,70 to 74 years,74,51
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_047E,Female,75 to 79 years,95,73
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_048E,Female,80 to 84 years,48,45
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,B01001_049E,Female,85 years and over,29,45
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_003E,Male,Under 5 years,801,244
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_004E,Male,5 to 9 years,772,262
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_005E,Male,10 to 14 years,560,167
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_006E,Male,15 to 17 years,232,102
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_007E,Male,18 and 19 years,72,54
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_008E,Male,20 years,35,37
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_009E,Male,21 years,58,55
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_010E,Male,22 to 24 years,140,91
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_011E,Male,25 to 29 years,490,239
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_012E,Male,30 to 34 years,595,191
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_013E,Male,35 to 39 years,806,216
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_014E,Male,40 to 44 years,543,163
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_015E,Male,45 to 49 years,699,215
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_016E,Male,50 to 54 years,595,185
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_017E,Male,55 to 59 years,466,160
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,B01001_018E,Male,60 and 61 years,237,108
