zcta,variable,sex,age,total_pop,pop_in_cook
60010,P012030,Female,15 to 17 years,1147,538
60010,P012031,Female,18 and 19 years,405,198
60010,P012032,Female,20 years,121,62
60010,P012033,Female,21 years,118,58
60010,P012034,Female,22 to 24 years,426,218
60010,P012035,Female,25 to 29 years,532,254
60010,P012036,Female,30 to 34 years,663,334
60010,P012037,Female,35 to 39 years,1175,572
60010,P012038,Female,40 to 44 years,1715,746
60010,P012039,Female,45 to 49 years,2186,897
60010,P012040,Female,50 to 54 years,2208,999
60010,P012041,Female,55 to 59 years,2001,899
60010,P012042,Female,60 and 61 years,687,332
60010,P012043,Female,62 to 64 years,956,409
60010,P012044,Female,65 and 66 years,548,251
60010,P012045,Female,67 to 69 years,671,286
60010,P012046,Female,70 to 74 years,816,348
60010,P012047,Female,75 to 79 years,595,232
60010,P012048,Female,80 to 84 years,466,192
60010,P012049,Female,85 years and over,582,192
60015,P012003,Male,Under 5 years,757,0
60015,P012004,Male,5 to 9 years,1136,0
60015,P012005,Male,10 to 14 years,1153,1
60015,P012006,Male,15 to 17 years,733,0
60015,P012007,Male,18 and 19 years,331,1
60015,P012008,Male,20 years,120,0
60015,P012009,Male,21 years,123,1
60015,P012010,Male,22 to 24 years,364,0
60015,P012011,Male,25 to 29 years,450,0
60015,P012012,Male,30 to 34 years,458,0
60015,P012013,Male,35 to 39 years,723,0
60015,P012014,Male,40 to 44 years,978,0
60015,P012015,Male,45 to 49 years,1058,0
60015,P012016,Male,50 to 54 years,1183,0
60015,P012017,Male,55 to 59 years,1053,1
60015,P012018,Male,60 and 61 years,342,0
60015,P012019,Male,62 to 64 years,442,1
60015,P012020,Male,65 and 66 years,228,1
60015,P012021,Male,67 to 69 years,367,1
60015,P012022,Male,70 to 74 years,383,2
60015,P012023,Male,75 to 79 years,260,3
60015,P012024,Male,80 to 84 years,214,7
60015,P012025,Male,85 years and over,162,28
60015,P012027,Female,Under 5 years,739,0
60015,P012028,Female,5 to 9 years,1109,0
