census_name,clean_name,census_place_code,variable,sex,age,estimate
"Bellwood village, Illinois",Bellwood,04975,P012036,Female,30 to 34 years,645
"Bellwood village, Illinois",Bellwood,04975,P012037,Female,35 to 39 years,688
"Bellwood village, Illinois",Bellwood,04975,P012038,Female,40 to 44 years,695
"Bellwood village, Illinois",Bellwood,04975,P012039,Female,45 to 49 years,701
"Bellwood village, Illinois",Bellwood,04975,P012040,Female,50 to 54 years,825
"Bellwood village, Illinois",Bellwood,04975,P012041,Female,55 to 59 years,803
"Bellwood village, Illinois",Bellwood,04975,P012042,Female,60 and 61 years,296
"Bellwood village, Illinois",Bellwood,04975,P012043,Female,62 to 64 years,349
"Bellwood village, Illinois",Bellwood,04975,P012044,Female,65 and 66 years,187
"Bellwood village, Illinois",Bellwood,04975,P012045,Female,67 to 69 years,247
"Bellwood village, Illinois",Bellwood,04975,P012046,Female,70 to 74 years,234
"Bellwood village, Illinois",Bellwood,04975,P012047,Female,75 to 79 years,193
"Bellwood village, Illinois",Bellwood,04975,P012048,Female,80 to 84 years,147
"Bellwood village, Illinois",Bellwood,04975,P012049,Female,85 years and over,119
"Cook County (part), Bensenville village, Illinois",Bensenville,05248,P012003,Male,Under 5 years,0
"Cook County (part), Bensenville village, Illinois",Bensenville,05248,P012004,Male,5 to 9 years,0
"Cook County (part), Bensenville village, Illinois",Bensenville,05248,P012005,Male,10 to 14 years,0
"Cook County (part), Bensenville village, Illinois",Bensenville,05248,P012006,Male,15 to 17 years,0
"Cook County (part), Bensenville village, Illinois",Bensenville,05248,P012007,Male,18 and 19 years,0
