name,label,concept,sex,age,ccdph_population_2010
PCT003044,Total!!Male!!41 years,SEX BY AGE,Male,41 years,14607
PCT003045,Total!!Male!!42 years,SEX BY AGE,Male,42 years,14763
PCT003046,Total!!Male!!43 years,SEX BY AGE,Male,43 years,14671
PCT003047,Total!!Male!!44 years,SEX BY AGE,Male,44 years,15177
PCT003048,Total!!Male!!45 years,SEX BY AGE,Male,45 years,15886
PCT003049,Total!!Male!!46 years,SEX BY AGE,Male,46 years,15639
PCT003050,Total!!Male!!47 years,SEX BY AGE,Male,47 years,16088
PCT003051,Total!!Male!!48 years,SEX BY AGE,Male,48 years,16421
PCT003052,Total!!Male!!49 years,SEX BY AGE,Male,49 years,16873
PCT003053,Total!!Male!!50 years,SEX BY AGE,Male,50 years,17388
PCT003054,Total!!Male!!51 years,SEX BY AGE,Male,51 years,16615
PCT003055,Total!!Male!!52 years,SEX BY AGE,Male,52 years,17038
PCT003056,Total!!Male!!53 years,SEX BY AGE,Male,53 years,16629
PCT003057,Total!!Male!!54 years,SEX BY AGE,Male,54 years,16041
PCT003058,Total!!Male!!55 years,SEX BY AGE,Male,55 years,16004
PCT003059,Total!!Male!!56 years,SEX BY AGE,Male,56 years,14673
PCT003060,Total!!Male!!57 years,SEX BY AGE,Male,57 years,14386
PCT003061,Total!!Male!!58 years,SEX BY AGE,Male,58 years,13735
PCT003062,Total!!Male!!59 years,SEX BY AGE,Male,59 years,13269
PCT003063,Total!!Male!!60 years,SEX BY AGE,Male,60 years,12972
PCT003064,Total!!Male!!61 years,SEX BY AGE,Male,61 years,12340
PCT003065,Total!!Male!!62 years,SEX BY AGE,Male,62 years,12512
PCT003066,Total!!Male!!63 years,SEX BY AGE,Male,63 years,11975
PCT003067,Total!!Male!!64 years,SEX BY AGE,Male,64 years,9183
PCT003068,Total!!Male!!65 years,SEX BY AGE,Male,65 years,8573
PCT003069,Total!!Male!!66 years,SEX BY AGE,Male,66 years,8814
PCT003070,Total!!Male!!67 years,SEX BY AGE,Male,67 years,8901
PCT003071,Total!!Male!!68 years,SEX BY AGE,Male,68 years,7760
PCT003072,Total!!Male!!69 years,SEX BY AGE,Male,69 years,6863
PCT003073,Total!!Male!!70 years,SEX BY AGE,Male,70 years,6383
PCT003074,Total!!Male!!71 years,SEX BY AGE,Male,71 years,6175
PCT003075,Total!!Male!!72 years,SEX BY AGE,Male,72 years,6084
PCT003076,Total!!Male!!73 years,SEX BY AGE,Male,73 years,5582
