geoid_zcta,total_pop,pop_in_cook,percent_pop,partial
60445,14692,14692,100,FALSE
60462,40539,40539,100,FALSE
60463,14048,14048,100,FALSE
60464,9982,9982,100,FALSE
60465,18530,18530,100,FALSE
60466,21904,18482,84.38,TRUE
60467,26098,23633,90.55,TRUE
60469,5469,5469,100,FALSE
60471,13155,13111,99.67,TRUE
60472,4671,4671,100,FALSE
60473,21661,21661,100,FALSE
60475,9969,4245,42.58,TRUE
60476,2388,2388,100,FALSE
60477,37335,37310,99.93,TRUE
60478,16893,16893,100,FALSE
60480,5272,5272,100,FALSE
60482,11216,11216,100,FALSE
60487,26388,18702,70.87,TRUE
60501,11746,11746,100,FALSE
60449,8961,15,0.17,TRUE
60452,27363,27363,100,FALSE
60453,58362,58362,100,FALSE
60455,17098,17098,100,FALSE
60456,4343,4343,100,FALSE
60457,14420,14420,100,FALSE
60458,14504,14504,100,FALSE
60459,29451,29451,100,FALSE
60461,4785,4785,100,FALSE
60004,52546,52546,100,FALSE
60005,30221,30221,100,FALSE
60007,33670,33670,100,FALSE
60008,22760,22760,100,FALSE
60010,46365,20678,44.6,TRUE
60015,28013,507,1.81,TRUE
60016,61888,61888,100,FALSE
60018,30051,30051,100,FALSE
60022,8482,8482,100,FALSE
60025,41256,41256,100,FALSE
60026,14518,14518,100,FALSE
60029,514,514,100,FALSE
60657,72316,72316,100,FALSE
60654,23890,23890,100,FALSE
60655,27837,27837,100,FALSE
60656,28474,28474,100,FALSE
60659,40579,40579,100,FALSE
60660,42534,42534,100,FALSE
60661,11987,11987,100,FALSE
60706,24327,24327,100,FALSE
60707,43241,43241,100,FALSE
60712,13463,13463,100,FALSE
60714,31006,31006,100,FALSE
60803,22189,22189,100,FALSE
60804,85673,85673,100,FALSE
60805,19945,19945,100,FALSE
60827,24936,24936,100,FALSE
60192,16550,16550,100,FALSE
60193,40805,40805,100,FALSE
60194,20622,20622,100,FALSE
60195,5150,5150,100,FALSE
60201,44652,44652,100,FALSE
60202,33245,33245,100,FALSE
60203,4634,4634,100,FALSE
60208,213,213,100,FALSE
60301,3043,3043,100,FALSE
60302,33698,33698,100,FALSE
60304,17842,17842,100,FALSE
60305,11710,11710,100,FALSE
60402,64706,64706,100,FALSE
60406,24011,24011,100,FALSE
60409,36045,36045,100,FALSE
60411,53515,53515,100,FALSE
60415,14433,14433,100,FALSE
60418,10813,10813,100,FALSE
60419,21409,21409,100,FALSE
60422,9927,9927,100,FALSE
60423,32784,30,0.09,TRUE
60425,8781,8781,100,FALSE
60426,24114,24114,100,FALSE
60428,11351,11351,100,FALSE
60429,14683,14683,100,FALSE
60430,20146,20146,100,FALSE
