municipality,total_pop,pop_in_cook,district,partial,exclude_from_analysis,census_place_code
Orland Hills,6893,6893,Southwest,FALSE,FALSE,56627
Orland Park,58703,58344,Southwest,TRUE,FALSE,56640
Palatine,67908,67908,North,FALSE,FALSE,57225
Palos Heights,12068,12068,Southwest,FALSE,FALSE,57381
Palos Hills,18530,18530,Southwest,FALSE,FALSE,57394
Palos Park,4899,4899,Southwest,FALSE,FALSE,57407
Park Forest,21687,18482,South,TRUE,FALSE,57732
Park Ridge,39656,39656,North,FALSE,FALSE,57875
Phoenix,1708,1708,South,FALSE,FALSE,59572
Posen,5632,5632,South,FALSE,FALSE,61314
Prospect Heights,16058,16058,North,FALSE,FALSE,62016
Richton Park,12775,12775,South,FALSE,FALSE,63706
River Forest,11717,11717,West,FALSE,FALSE,64304
River Grove,10612,10612,West,FALSE,FALSE,64343
Riverdale,10663,10663,South,FALSE,FALSE,64278
Riverside,9298,9298,West,FALSE,FALSE,64421
Riverwoods,3790,0,North,TRUE,TRUE,64538
Robbins,4629,4629,South,FALSE,FALSE,64616
Rolling Meadows,24200,24200,North,FALSE,FALSE,65338
Roselle,22897,3951,North,TRUE,FALSE,65806
Rosemont,3952,3952,West,FALSE,FALSE,65819
Sauk Village,9921,9921,South,FALSE,FALSE,67769
Schaumburg,78723,78723,North,FALSE,FALSE,68003
Schiller Park,11709,11709,West,FALSE,FALSE,68081
Skokie,67824,67824,OOJ,FALSE,FALSE,70122
South Barrington,5077,5077,North,FALSE,FALSE,70564
South Chicago Heights,4026,4026,South,FALSE,FALSE,70629
South Holland,21465,21465,South,FALSE,FALSE,70850
Steger,9584,4118,South,TRUE,FALSE,72520
Stickney,7110,7110,OOJ,FALSE,FALSE,72676
Stone Park,4576,4576,West,FALSE,FALSE,72923
Streamwood,39577,39577,North,FALSE,FALSE,73157
Summit,11161,11161,Southwest,FALSE,FALSE,73638
Thornton,2386,2386,South,FALSE,FALSE,75185
Tinley Park,55971,48269,South,TRUE,FALSE,75484
University Park,7145,317,South,TRUE,TRUE,76935
Westchester,16892,16892,West,FALSE,FALSE,80047
Western Springs,13629,13629,West,FALSE,FALSE,80242
Wheeling,39137,39137,North,FALSE,FALSE,81087
Willow Springs,5857,5857,Southwest,FALSE,FALSE,82049
Wilmette,28170,28170,North,FALSE,FALSE,82075
Winnetka,12744,12744,North,FALSE,FALSE,82530
Woodridge,34158,0,Southwest,TRUE,TRUE,83245
Worth,10970,10970,Southwest,FALSE,FALSE,83518
