geoid_zcta,variable,sex,age,total_pop,pop_in_cook
60154,P12_040N,Female,50 to 54 years,638,638
60154,P12_041N,Female,55 to 59 years,704,704
60154,P12_042N,Female,60 and 61 years,306,306
60154,P12_043N,Female,62 to 64 years,453,453
60154,P12_044N,Female,65 and 66 years,269,269
60154,P12_045N,Female,67 to 69 years,416,416
60154,P12_046N,Female,70 to 74 years,635,635
60154,P12_047N,Female,75 to 79 years,400,400
60154,P12_048N,Female,80 to 84 years,287,287
60154,P12_049N,Female,85 years and over,366,366
60155,P12_003N,Male,Under 5 years,184,184
60155,P12_004N,Male,5 to 9 years,206,206
60155,P12_005N,Male,10 to 14 years,227,227
60155,P12_006N,Male,15 to 17 years,146,146
60155,P12_007N,Male,18 and 19 years,99,99
60155,P12_008N,Male,20 years,56,56
60155,P12_009N,Male,21 years,56,56
60155,P12_010N,Male,22 to 24 years,129,129
60155,P12_011N,Male,25 to 29 years,226,226
60155,P12_012N,Male,30 to 34 years,252,252
60155,P12_013N,Male,35 to 39 years,242,242
60155,P12_014N,Male,40 to 44 years,242,242
60155,P12_015N,Male,45 to 49 years,253,253
60155,P12_016N,Male,50 to 54 years,242,242
60155,P12_017N,Male,55 to 59 years,284,284
60155,P12_018N,Male,60 and 61 years,130,130
60155,P12_019N,Male,62 to 64 years,179,179
60155,P12_020N,Male,65 and 66 years,98,98
60155,P12_021N,Male,67 to 69 years,125,125
60155,P12_022N,Male,70 to 74 years,187,187
60155,P12_023N,Male,75 to 79 years,126,126
60155,P12_024N,Male,80 to 84 years,70,70
60155,P12_025N,Male,85 years and over,38,38
60155,P12_027N,Female,Under 5 years,198,198
60155,P12_028N,Female,5 to 9 years,197,197
60155,P12_029N,Female,10 to 14 years,202,202
60155,P12_030N,Female,15 to 17 years,133,133
60155,P12_031N,Female,18 and 19 years,68,68
60155,P12_032N,Female,20 years,46,46
60155,P12_033N,Female,21 years,60,60
60155,P12_034N,Female,22 to 24 years,138,138
60155,P12_035N,Female,25 to 29 years,257,257
60155,P12_036N,Female,30 to 34 years,262,262
60155,P12_037N,Female,35 to 39 years,261,261
60155,P12_038N,Female,40 to 44 years,276,276
