zip_code,primary_city,district,percent_addresses,nssp_region,notes
60678,Chicago,OOJ,100,IL_Chicago,specific company or organization
60680,Chicago,OOJ,100,IL_Chicago,PO Boxes
60681,Chicago,OOJ,100,IL_Chicago,PO Boxes
60682,Chicago,OOJ,100,IL_Chicago,specific company or organization
60684,Chicago,OOJ,100,IL_Chicago,specific company or organization
60685,Chicago,OOJ,100,IL_Chicago,specific company or organization
60686,Chicago,OOJ,100,IL_Chicago,specific company or organization
60687,Chicago,OOJ,100,IL_Chicago,specific company or organization
60688,Chicago,OOJ,100,IL_Chicago,specific company or organization
60689,Chicago,OOJ,100,IL_Chicago,specific company or organization
60690,Chicago,OOJ,100,IL_Chicago,PO Boxes
60691,Chicago,OOJ,100,IL_Chicago,PO Boxes
60693,Chicago,OOJ,100,IL_Chicago,specific company or organization
60694,Chicago,OOJ,100,IL_Chicago,specific company or organization
60695,Chicago,OOJ,100,IL_Chicago,specific company or organization
60696,Chicago,OOJ,100,IL_Chicago,specific company or organization
60697,Chicago,OOJ,100,IL_Chicago,specific company or organization
60699,Chicago,OOJ,100,IL_Chicago,NA
60701,Chicago,OOJ,100,IL_Cook,incorrect NSSP region assignment
60706,Harwood Heights,West,100,IL_Cook,NA
60707,Elmwood Park,West,100,IL_Cook,NA
60712,Lincolnwood,North,100,IL_Cook,NA
60714,Niles,North,100,IL_Cook,NA
60803,Alsip,Southwest,100,IL_Cook,NA
60804,Cicero,West,100,IL_Cook,NA
60805,Evergreen Park,Southwest,100,IL_Cook,NA
60827,Riverdale,South,100,IL_Cook,NA
60663,NA,NA,NA,IL_Chicago,from NSSP list but not valid per USPS look up
60665,NA,NA,NA,IL_Chicago,from NSSP list but not valid per USPS look up
60667,NA,NA,NA,IL_Chicago,from NSSP list but not valid per USPS look up
60671,NA,NA,NA,IL_Chicago,from NSSP list but not valid per USPS look up
60679,NA,NA,NA,IL_Chicago,from NSSP list but not valid per USPS look up
60683,NA,NA,NA,IL_Chicago,from NSSP list but not valid per USPS look up
60011,Barrington,North,NA,IL_Cook,PO Boxes
60209,NA,NA,NA,IL_Cook,from NSSP list but not valid per USPS look up
60290,NA,NA,NA,IL_Cook,from NSSP list but not valid per USPS look up
60398,NA,NA,NA,IL_Cook,from NSSP list but not valid per USPS look up
60570,NA,NA,NA,IL_Cook,from NSSP list but not valid per USPS look up
60035,Highland Park,OOJ,NA,IL_Lake,from BOT list but no addresses in Cook per melissa data
60047,Lake Zurich,OOJ,NA,IL_Lake,from BOT list but no addresses in Cook per melissa data
60106,Bensenville,OOJ,NA,IL_DuPage,from BOT list but no addresses in Cook per melissa data
60110,Carpentersville,OOJ,NA,IL_Kane,from BOT list but no addresses in Cook per melissa data
60118,Dundee,OOJ,NA,IL_Kane,from BOT list but no addresses in Cook per melissa data
60143,Itasca,OOJ,NA,IL_DuPage,from BOT list but no addresses in Cook per melissa data
60191,Wood Dale,OOJ,NA,IL_DuPage,from BOT list but no addresses in Cook per melissa data
60417,Crete,OOJ,NA,IL_Will,from BOT list but no addresses in Cook per melissa data
60441,Lockport,OOJ,NA,IL_Will,from BOT list but no addresses in Cook per melissa data
60448,Mokena,OOJ,NA,IL_Will,from BOT list but no addresses in Cook per melissa data
60491,Homer Glen,OOJ,NA,IL_Will,from BOT list but no addresses in Cook per melissa data
