"zcta","variable","value"
"60634","B19013_001E",70083
"60634","B19013_001M",2937
"60153","B19013_001E",50176
"60153","B19013_001M",5640
"60619","B19013_001E",35629
"60619","B19013_001M",2544
"60609","B19013_001E",37353
"60609","B19013_001M",1848
"60642","B19013_001E",112241
"60642","B19013_001M",7706
"60016","B19013_001E",64195
"60016","B19013_001M",3181
"60651","B19013_001E",38955
"60651","B19013_001M",2078
"60644","B19013_001E",26900
"60644","B19013_001M",2773
"60633","B19013_001E",51538
"60633","B19013_001M",7854
"60655","B19013_001E",102813
"60655","B19013_001M",4688
"60643","B19013_001E",65631
"60643","B19013_001M",3393
"60473","B19013_001E",63157
"60473","B19013_001M",4394
"60625","B19013_001E",68770
"60625","B19013_001M",3406
"60302","B19013_001E",89533
"60302","B19013_001M",5114
"60618","B19013_001E",78704
"60618","B19013_001M",2548
"60646","B19013_001E",95593
"60646","B19013_001M",10799
"60010","B19013_001E",143340
"60010","B19013_001M",6467
"60639","B19013_001E",46107
"60639","B19013_001M",2056
"60706","B19013_001E",68808
"60706","B19013_001M",4862
"60621","B19013_001E",22158
"60621","B19013_001M",1680
"60647","B19013_001E",78413
"60647","B19013_001M",3199
"60425","B19013_001E",63512
"60425","B19013_001M",9718
